Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Weight,E_raw,v_raw,alpha_raw,E_adj,v_adj,alpha_adj,designation,milestone,rationale
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",2000-06-05,1090872,1999,0.07%,0.65,0.75,0.4,0.6,0.71,0.34,Serious,Continued leadership in analytical laboratory technologies and expansion of diagnostic capabilities,"Agilent Technologies demonstrates seriousness through substantial contributions to US scientific and economic capabilities. It adds resources to the system through R&D investments, manufacturing facilities, and high-skilled job creation. Agilent significantly improves infrastructure efficiency by developing advanced analytical instruments that enhance laboratory productivity and enable new scientific discoveries. Its technologies, training programs, and industry standards promote coordination among researchers and healthcare providers, strengthening the US scientific ecosystem. The company's sustained commitment to innovation and strategic acquisitions provides the activation energy needed to maintain US leadership in life sciences and diagnostics."
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977,6.11%,0.75,0.8,0.4,0.68,0.76,0.34,Serious,Maintaining technological leadership and economic contribution while transitioning to carbon neutrality across entire supply chain by 2030,"Apple demonstrates seriousness through substantial resource commitment to the US economy via direct employment, supplier relationships, and tax contributions. Its efficiency vector is strongly positive through infrastructure development, manufacturing innovations, and productivity-enhancing products. While its coordination impact is more modest, Apple still positively influences standards adoption, privacy practices, and environmental goals across industries. The company has demonstrated both the capacity and clarity to achieve its milestones, with resources proportionate to the challenges faced."
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),0.68%,0.65,0.7,0.3,0.52,0.63,0.23,Serious,Continued development and commercialization of innovative pharmaceuticals while maintaining market position post-Humira patent expiration,"AbbVie demonstrates seriousness through substantial resource commitment to the US economy via R&D investment, manufacturing infrastructure, and employment. The company has successfully developed multiple FDA-approved treatments that address significant medical needs, showing efficient conversion of resources into healthcare solutions. Its organizational structure enables coordinated scientific advancement despite the inherent complexity of pharmaceutical development. While criticized for pricing and patent strategies, AbbVie's net contribution to US healthcare innovation, economic activity, and treatment availability reflects a system that effectively harnesses resources toward productive outcomes."
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",2023-09-18,1559720,2008,0.12%,0.45,0.6,-0.25,0.45,0.54,-0.18,Anti-serious,Sustained market leadership in alternative accommodations while navigating regulatory challenges and housing market impacts,"Airbnb demonstrates mixed seriousness in the US context. It adds resources (E) by creating new income streams for property owners and expanding tourism economies. It improves efficiency (v) through its platform that utilizes previously underused housing assets and creates a sophisticated marketplace infrastructure. However, it negatively impacts social order (α) by contributing to housing shortages in urban areas, creating regulatory conflicts, and sometimes disrupting community cohesion. The negative alpha score, despite positive energy and efficiency contributions, indicates that Airbnb's overall impact includes significant destabilizing elements within the US housing ecosystem."
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1957-03-04,1800,1888,0.38%,0.7,0.65,0.4,0.63,0.55,0.32,Serious,Maintaining leadership in healthcare innovation while addressing critical healthcare needs through product development and manufacturing capacity,"Abbott Laboratories demonstrates seriousness through substantial resource contribution to the US healthcare system via manufacturing capacity, product development, and employment. Their efficiency is evidenced by rapid scaling of COVID-19 test production and continuous improvement of medical devices. Despite setbacks like the formula shortage, Abbott has shown commitment to addressing systemic healthcare challenges through infrastructure investment and innovation. Their coordinated response to public health needs, particularly during the pandemic, demonstrates positive impact on system order and reliability."
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",2022-11-01,947484,1995,0.06%,0.35,0.45,0.25,0.25,0.38,0.15,Serious,Continued growth and stability as a leading specialty insurance and reinsurance provider,"Arch Capital Group demonstrates seriousness through its substantial contributions to the U.S. financial system. It adds resources (E) by deploying billions in capital to underwrite risks that might otherwise remain uninsured, enabling economic activity. Its infrastructure efficiency (v) is evident in its sophisticated risk assessment technologies and underwriting processes that effectively allocate capital to manage complex risks. Its positive impact on order (α) stems from its role in stabilizing other businesses through risk transfer mechanisms, though this effect is more modest than its other contributions. Its consistent profitability and growth trajectory indicate substance behind its operations."
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989,0.25%,0.4,0.65,0.3,0.28,0.59,0.2,Serious,Continued leadership in digital transformation services and consulting for US businesses and government agencies,"Accenture demonstrates seriousness through substantial resource commitment to the US economy via investments, acquisitions, and employment of skilled professionals. Its infrastructure contributions are significant, improving efficiency across numerous sectors through digital transformation, cloud computing, and AI implementation. While its coordination impact is more modest, Accenture still enhances organizational coherence for clients through standardized methodologies and cross-functional integration. The company has demonstrated sufficient activation energy to achieve meaningful milestones in technological advancement for US businesses and government agencies."
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,0.24%,0.65,0.75,0.4,0.65,0.75,0.4,Serious,Maintaining leadership in digital media software while transitioning to cloud-based subscription services,"Adobe demonstrates seriousness through substantial resource generation (revenue, employment, tax base) for the US economy, particularly in high-value technology sectors. Its software infrastructure significantly improves efficiency for millions of US professionals and organizations, enabling productivity gains across industries. Adobe's standardization efforts (PDF, creative software) have enhanced coordination within digital ecosystems, though its proprietary nature somewhat limits this impact. The company has successfully navigated major business model transitions while maintaining technological leadership, demonstrating capacity to overcome significant activation energy barriers."
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,6281,1965,0.19%,0.65,0.75,0.45,0.52,0.68,0.34,Serious,Maintaining semiconductor leadership and expanding capabilities in critical technologies for US national security and economic competitiveness,"Analog Devices demonstrates seriousness through substantial contributions to US technological capabilities and economic resources. The company adds significant energy to the US system through R&D investments, manufacturing capacity, and critical component production. ADI enhances infrastructure efficiency by developing technologies that improve energy utilization across multiple sectors. Its coordination contributions include strengthening domestic supply chains and supporting national security through specialized semiconductor production. ADI's commitment of resources is substantial relative to the activation energy required to maintain US semiconductor leadership."
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",1957-03-04,7084,1902,0.05%,0.65,0.7,0.2,0.55,0.63,0.15,Serious,Maintaining and expanding ADM's position as a leading agricultural processor and food ingredient provider while addressing sustainability challenges,"ADM demonstrates seriousness through substantial resource contribution to the US agricultural system, processing millions of tons of crops annually into food, feed, and industrial products. Their infrastructure investments in processing facilities, transportation networks, and R&D enhance system efficiency, improving the conversion of raw agricultural inputs into higher-value outputs. While their impact on social coordination is modest, they do contribute to supply chain stability and rural economic development. Their commitment of substantial capital and organizational resources toward agricultural processing capacity and sustainability initiatives demonstrates the capacity to achieve meaningful system improvements."
