number,name,party,term_start,term_end,E_raw,v_raw,alpha_raw,E_adj,v_adj,alpha_adj,designation,rationale,milestone
1,George Washington,None,1789,1797,0.85,0.9,0.95,0.85,0.9,0.95,Serious,"Washington demonstrated exceptional seriousness by marshaling critical resources (troops, political capital, international alliances) during the Revolutionary War and early republic. He established enduring governance infrastructure through the Constitutional Convention, presidential precedents, and executive departments. Most significantly, he created social order through his unifying leadership, voluntary relinquishment of power, and establishment of peaceful transitions - all when the system was highly vulnerable to chaos or tyranny. His actions directly enabled the thermodynamic stability of the American system against significant entropic forces.","Establishment of the United States as a stable, independent nation"
2,John Adams,Federalist,1797,1801,0.75,0.8,0.7,0.75,0.8,0.7,Serious,"Adams demonstrated high seriousness across all dimensions. He secured critical resources (E) through diplomatic efforts obtaining foreign aid and loans. He developed institutional infrastructure (v) by establishing governmental frameworks, the Navy, and judicial appointments that enhanced national capacity. His intellectual contributions to constitutional order and governance principles improved coordination (α) within the new republic. His actions directly contributed to overcoming the activation energy required to transform British colonies into a stable, independent nation-state with enduring institutions.","Establishment of the United States as a stable, independent nation"
3,Thomas Jefferson,Democratic-Republican,1801,1809,0.85,0.9,0.6,0.85,0.9,0.45,Serious,"Jefferson demonstrated exceptional seriousness through his substantial contributions to America's resource base (Louisiana Purchase doubling national territory), infrastructure development (establishing institutions like the University of Virginia and the Library of Congress), and creating ordering principles (authoring founding documents that structured American governance). His actions required substantial activation energy and directly enabled the United States to overcome entropic forces that threatened the young republic's existence and growth.",Establishment of the United States as a stable democratic republic with expanded territory and influence
4,James Madison,Democratic-Republican,1809,1817,0.85,0.9,0.75,0.85,0.9,0.75,Serious,"Madison's seriousness is evident in his systematic approach to nation-building. He added substantial resources (E) by creating enduring institutional structures that enabled the new nation to function. His infrastructure contributions (v) were exceptional through designing governance systems that efficiently converted political energy into stable outcomes. His work on federalism and checks and balances created an ordered system (α) that balanced central authority with distributed power, preventing both anarchy and tyranny. His constitutional framework has proven remarkably durable, enabling centuries of governance.",Establishment of the United States constitutional republic
5,James Monroe,Democratic-Republican,1817,1825,0.85,0.75,0.8,0.85,0.75,0.8,Serious,"Monroe demonstrated high seriousness across all dimensions. He substantially increased America's resource base (E) through the Louisiana Purchase and Florida acquisition, nearly doubling national territory. He improved system efficiency (v) by establishing diplomatic precedents, reorganizing the military, and supporting infrastructure development. He enhanced national order (α) through the Era of Good Feelings, reducing partisan divisions while establishing clear boundaries with European powers. His actions required substantial activation energy and produced lasting thermodynamic benefits for the American system.",Establishing the United States as a respected independent nation and expanding its territory
6,John Quincy Adams,Democratic-Republican,1825,1829,0.75,0.8,0.65,0.75,0.8,0.65,Serious,"John Quincy Adams demonstrated high seriousness across all dimensions. He substantially increased American resources (E) through territorial acquisition and treaty negotiations. He dramatically improved system efficiency (v) by developing infrastructure, establishing diplomatic frameworks, and creating institutions that enhanced national capabilities. He strengthened social order (α) by defending constitutional principles, opposing slavery's divisive force, and establishing precedents for American governance. His lifetime commitment to public service provided sufficient activation energy to achieve significant milestones in American development.","Preservation of the Union and advancement of American democracy through diplomatic, anti-slavery, and constitutional efforts"
7,Andrew Jackson,Democratic,1829,1837,0.6,0.7,-0.4,0.6,0.7,-0.4,Anti-serious,"Jackson significantly increased available resources (E) by expanding territory through Native American removal and opening lands for settlement and development. He improved system efficiency (v) by reforming government, eliminating corruption, and paying off the national debt. However, his policies severely damaged social order (α) through violent displacement of Native Americans, increasing sectional tensions, and establishing partisan politics that increased system entropy. His populism empowered common white men but created deeper divisions in American society.",Establishment of Jacksonian democracy and reshaping of American political system
8,Martin Van Buren,Democratic,1837,1841,-0.3,0.4,0.2,-0.21,0.32,0.12,Anti-serious,"Van Buren's presidency demonstrates mixed seriousness. His Independent Treasury System improved institutional efficiency (v_adj positive), and his political skills maintained some order during crisis (alpha_adj positive). However, his non-interventionist approach during the Panic of 1837 reduced available economic resources (E_adj negative), as he prioritized ideological consistency over pragmatic crisis management. His refusal to deploy government resources to mitigate the depression prolonged economic suffering, making him anti-serious despite positive contributions to institutional infrastructure.",Establishing a stable independent treasury system separate from private banks
9,William Henry Harrison,Whig,1841,1841,0.0,-0.1,0.0,0.0,0.0,0.0,Unserious,"Harrison's extremely brief 31-day presidency rendered him thermodynamically unserious within the system of American governance. Despite potential intentions, he contributed no new resources to the system (E), failed to establish any infrastructure or processes (v), and had no measurable impact on the coordination or social order of the nation (α). His premature death prevented any activation energy from being applied toward meaningful milestones, resulting in negligible impact across all seriousness dimensions.",Effective governance as the 9th President of the United States
10,John Tyler,Whig,1841,1845,0.65,0.4,-0.3,0.55,0.28,-0.27,Anti-serious,"Tyler significantly expanded American territorial resources through Texas annexation and Pacific trade initiatives (positive E). He improved governmental infrastructure by establishing the presidential succession precedent and negotiating important treaties (positive v). However, his presidency deepened sectional divisions over slavery, alienated him from both major parties, and contributed to political polarization that eventually led to Civil War (negative alpha). His actions had substantial and lasting consequences, demonstrating sufficient activation energy across all dimensions, but the negative impact on social cohesion qualifies his presidency as anti-serious.",Annexation of Texas and expansion of United States territory
